Exchange,Symbol
NASDAQ,AAPL
NASDAQ,ABNB
NASDAQ,ADBE
NASDAQ,AMZN
NYSE,BABA
NASDAQ,BIDU
NASDAQ,COIN
NYSE,CRM
NASDAQ,CRWD
NASDAQ,DDOG
NASDAQ,FB
NASDAQ,JD
NASDAQ,MARA
NASDAQ,MSFT
NASDAQ,MSTR
NASDAQ,NFLX
NYSE,PLTR
NYSE,PSTG
NYSE,RBLX
NASDAQ,ROKU
NYSE,SE
NYSE,SNAP
NYSE,SPOT
NYSE,SQ
NYSE,TWTR
NYSE,U
NYSE,UBER
NASDAQ,UPST
NASDAQ,AMAT
NASDAQ,AMD
NASDAQ,AVGO
NASDAQ,INTC
NASDAQ,MU
NASDAQ,NVDA
NASDAQ,QCOM
NYSE,TSM
AMEX,ARKG
NASDAQ,BNGO
NASDAQ,BNTX
NASDAQ,CLOV
NYSE,JNJ
NASDAQ,MRNA
NASDAQ,OBSV
NYSE,PFE
AMEX,SENS
NYSE,TDOC
NASDAQ,TYME
NASDAQ,BLNK
NYSE,CHPT
NYSE,F
NASDAQ,LCID
NASDAQ,LI
NYSE,NIO
NASDAQ,PLUG
NASDAQ,RIVN
NASDAQ,TSLA
NASDAQ,WKHS
NYSE,XPEV
NYSE,CHWY
NYSE,HD
NYSE,LOW
NYSE,M
NYSE,NKE
NASDAQ,PDD
NASDAQ,SBUX
NYSE,SHOP
NASDAQ,WISH
NASDAQ,WOOF
NASDAQ,AFRM
NYSE,GS
NYSE,JPM
NYSE,LMND
NYSE,MA
NASDAQ,PYPL
NASDAQ,SOFI
NASDAQ,TIGR
NYSE,V
NYSE,CVX
NASDAQ,FCEL
NYSE,MPC
NYSE,MRO
NYSE,OXY
NYSE,SOL
NYSE,XOM
AMEX,DIA
TVC,HSI
AMEX,IWM
NASDAQ,QQQ
SP,SPX
AMEX,SPY
CURRENCYCOM,US100
CURRENCYCOM,US500
TVC,VIX
AMEX,VOO
EURONEXT,AIR
NYSE,AMC
NASDAQ,APPN
NASDAQ,APPS
AMEX,ARKQ
NASDAQ,ATVI
NYSE,BA
BINANCE,BTCUSDT
NYSE,BYD
NASDAQ,BYND
NASDAQ,CHRW
NASDAQ,CROX
NASDAQ,CSCO
NYSE,DAL
NYSE,DELL
NYSE,DIS
BITSTAMP,ETHUSD
NYSE,FDX
NASDAQ,FLGT
NYSE,FSR
NYSE,IBM
NASDAQ,LIZI
NASDAQ,LOGI
NYSE,LYV
AMEX,META
NYSE,MGM
NYSE,MMM
NASDAQ,MTCH
NASDAQ,NNDM
NYSE,NOW
NASDAQ,OPEN
NYSE,QS
NYSE,RCL
NYSE,SNOW
NASDAQ,SNPS
NASDAQ,SPLK
NYSE,T
NASDAQ,UAL
NYSE,VZ
NYSE,WMT
NYSE,YUM
NASDAQ,ZM
NYSE,PLD
NYSE,UNH
NYSE,ALLY
